flight_number,departure_airport,arrival_airport,departure_date,arrival_date,departure_time,arrival_time,airline,flight_duration,passenger_count,ticket_price,cabin_class,flight_status,aircraft_type,pilot_name,co_pilot_name
2325,YHN,IFH,10/11/2022,4/15/2022,11:13 PM,10:15 AM,United,4.82,318,133.48,First,Delayed,Airbus A320,Anthea Hourihan,Yelena Donald
4721,DJH,SYO,4/5/2022,4/22/2022,2:29 AM,4:05 PM,Delta,5.29,289,135.28,Business,Cancelled,Airbus A320,Cal Elphinstone,Gerhardt Leeman
162,FAY,MDS,3/16/2022,12/11/2022,3:00 AM,2:42 PM,United,9.23,338,578.75,Economy,Cancelled,Airbus A320,Marylou Digginson,Shermy Billiard
9552,OLF,SVW,12/27/2022,3/1/2022,7:16 PM,9:02 AM,Delta,8.42,138,893.19,Economy,On Time,Boeing 787,Anya Geraudel,Priscilla Stevings
4891,DLD,ELB,11/25/2022,3/19/2022,1:28 PM,7:50 AM,United,9.53,19,538.03,Business,Cancelled,Boeing 737,Annelise Curl,Roxi Emlyn
4669,TAL,PBQ,9/3/2022,3/27/2022,1:22 PM,2:17 PM,United,1.91,399,296.11,First,Delayed,Airbus A320,Dynah Gleadle,Valma Frayne
2924,0,RIG,10/21/2022,6/15/2022,4:50 AM,5:29 AM,United,1.15,439,296.69,Business,Cancelled,Boeing 737,Sylvia Dermott,Marietta Lorence
5558,GLZ,GFA,3/2/2022,7/4/2022,8:31 AM,11:09 PM,Delta,8.58,64,186.84,Business,Cancelled,Airbus A320,Meredith Espinoza,Clair Arthey
7119,REZ,OXR,10/10/2022,12/27/2022,7:27 PM,12:08 AM,United,4.92,6,784.85,Business,On Time,Boeing 787,Alena Buie,Winnah Janaszewski
8555,LZM,SOL,12/21/2022,1/18/2022,12:55 AM,9:53 AM,United,4.06,433,153.9,Business,On Time,Boeing 737,Lamont Nilges,Carlie Fernan
6106,KEI,MHA,1/27/2022,4/5/2022,8:54 PM,12:55 PM,American,5.86,194,629.38,Economy,Delayed,Airbus A320,Jemmie Bush,Ferdinand Kenworth
6064,RJA,GOA,5/11/2022,4/24/2022,10:43 AM,5:01 AM,Delta,1.87,301,262.45,First,Delayed,Boeing 787,Beatrix Abrahamsohn,Illa Melby
7072,PBU,KKG,11/28/2022,11/2/2022,8:23 PM,5:26 PM,United,5.05,339,510.07,Economy,Cancelled,Airbus A320,Odessa Minguet,Olin Calver
4540,BVL,JIU,12/30/2022,12/28/2022,8:24 AM,8:20 AM,Delta,5.04,204,807.61,First,On Time,Boeing 787,Pepillo Evreux,Sylvia Scranny
5031,BYR,SBT,1/21/2022,1/18/2022,12:38 PM,7:02 PM,Delta,8.58,414,512.77,Economy,Delayed,Boeing 787,Caren Buckberry,Tobye Boulding
5317,KGX,PAE,11/25/2022,8/6/2022,8:53 PM,10:25 AM,Delta,6.83,424,335.17,Business,Delayed,Boeing 737,Gaile Gohier,Sharai World
3046,RPB,INF,1/26/2022,7/9/2022,7:42 PM,7:29 PM,Delta,2.37,153,719.53,First,On Time,Boeing 787,Dosi Gerleit,Vince Have
7334,ZST,KZB,10/12/2022,3/18/2022,5:03 AM,4:38 PM,American,8.02,387,658.74,Economy,On Time,Airbus A320,Rebecca Ciciari,Ernestine Bythell
9096,VNT,UMA,10/2/2022,9/18/2022,3:01 PM,10:29 PM,Delta,7.78,275,317.84,First,Delayed,Boeing 737,Jordon McMenamie,Tedman Berling
518,KTL,BPT,8/10/2022,10/19/2022,2:15 PM,1:25 AM,Delta,4.92,267,652.44,Economy,Cancelled,Boeing 737,Merrilee Maylard,Georgeanna Rushforth
7370,MOD,CFE,9/18/2022,7/31/2022,1:11 AM,12:11 PM,Delta,8.89,39,416.17,Economy,On Time,Boeing 787,Gary Borthe,Herold Mintoff
6885,NCH,MCL,3/29/2022,10/9/2022,11:22 PM,3:40 AM,United,1.45,114,786.92,First,Delayed,Airbus A320,Napoleon Jobey,Joey Garfitt
8352,MXG,ERT,8/16/2022,1/12/2022,2:42 PM,12:36 AM,Delta,5.09,148,258.67,First,On Time,Boeing 737,Delly Gillison,Dorie Dormand
2442,AUE,KRF,8/1/2022,4/17/2022,1:54 PM,4:51 AM,United,2.02,488,192.49,Economy,Delayed,Boeing 787,Millard Craker,Delmore Marjoram
2893,SKU,WPK,8/4/2022,5/14/2022,2:32 PM,9:51 AM,United,7.43,381,106.57,Business,Cancelled,Boeing 787,Missie Ivakhin,Kirsten Pidler
7651,AEX,PRN,4/6/2022,9/2/2022,11:06 PM,6:51 PM,American,2.51,58,345.86,First,On Time,Boeing 787,Elmore Guslon,Hale Harmar
7344,AGB,KKI,1/25/2022,5/29/2022,12:57 AM,3:43 PM,United,9.49,394,513.96,Economy,Delayed,Airbus A320,Randal Huortic,Beale Langhorne
6170,HEX,IKS,2/20/2022,9/12/2022,11:01 AM,6:24 PM,Delta,9.69,141,86.99,Business,On Time,Boeing 787,Hercules Stollenbeck,Taddeo Cordey
1656,GSE,SRG,9/4/2022,6/24/2022,11:19 AM,8:06 PM,United,1.89,403,181.85,First,Delayed,Boeing 737,Glen Simms,Dewain Crammy
6055,ZGI,TCX,3/14/2022,8/22/2022,5:43 PM,9:16 PM,United,7.5,23,873.2,First,On Time,Boeing 737,Tallulah Thying,Alene Barnhill
6118,HIN,MKU,3/11/2022,6/2/2022,11:06 AM,4:19 PM,United,5.85,105,821.99,First,On Time,Airbus A320,Bibby Keane,Ker McBryde
7397,LGX,GOA,2/5/2022,4/22/2022,7:51 PM,8:58 AM,Delta,7.36,387,493.1,Business,Cancelled,Airbus A320,Briny Meakin,Richie Golbourn
4768,MOF,MJD,6/9/2022,2/15/2022,11:33 PM,1:12 AM,United,9.13,123,989.6,Business,On Time,Boeing 787,Rivkah Commander,Anatole Spurryer
5194,PST,CNP,11/14/2022,9/19/2022,5:17 AM,11:40 AM,United,8.02,51,737.44,First,Cancelled,Boeing 787,Tabor Eckford,Colet Pennyman
3430,PPZ,BSU,11/28/2022,5/10/2022,6:34 AM,5:45 PM,American,7.23,135,531.38,Economy,On Time,Airbus A320,Loydie Barthelme,Betty Cardall
6041,BIE,TKI,11/25/2022,1/15/2022,4:06 PM,1:52 AM,United,2.48,310,446.22,Business,Cancelled,Boeing 737,Emmi Jenton,Randene Routham
5212,FAJ,RML,2/23/2022,5/12/2022,1:25 AM,6:59 PM,American,1.84,442,934.11,First,Delayed,Airbus A320,Greg McLeoid,Nicolas Dongles
6130,AWP,LFK,6/23/2022,4/5/2022,4:29 AM,2:04 AM,United,8.1,190,602.61,Economy,Delayed,Boeing 737,Cairistiona Edinburgh,Rozelle Puddin
458,KWJ,HPE,1/16/2022,4/13/2022,5:46 AM,3:36 AM,United,5.33,343,278.56,Business,Cancelled,Boeing 787,Clemens Burnhams,Jaime Algate
1947,SGO,USM,12/22/2022,8/27/2022,5:39 AM,6:38 PM,American,3.54,197,770.7,Economy,On Time,Boeing 737,Thibaud Guinn,Borden Haycock
4640,GKK,AFN,12/20/2022,6/5/2022,6:13 AM,3:33 AM,Delta,6.14,6,154.97,Business,Cancelled,Boeing 787,Hobie Fawltey,Edgard Antram
5355,LEB,DNA,9/27/2022,9/11/2022,2:22 PM,1:46 PM,Delta,9.89,246,547.43,Economy,Delayed,Airbus A320,Kenna Colgrave,Saunderson Didball
5333,TSS,MAK,4/5/2022,9/7/2022,5:07 AM,7:03 AM,American,5.29,442,754.59,First,Cancelled,Boeing 737,Fayette Colton,Fax Gotling
9938,YLY,BLA,7/22/2022,9/13/2022,6:34 PM,12:39 AM,Delta,6.64,188,648.17,Business,Cancelled,Boeing 787,Axe Pranger,Valentine Giddins
250,BFP,EGS,3/17/2022,2/10/2022,4:17 AM,4:21 PM,United,5.81,131,728.09,First,On Time,Airbus A320,Francesco Witz,Hall Bowes
326,HDF,QNY,9/17/2022,4/6/2022,12:09 PM,5:01 AM,United,3.33,2,858.12,Economy,On Time,Boeing 737,Lorin Beake,Terza Corck
5944,PWO,BCN,5/4/2022,9/8/2022,1:15 PM,6:28 AM,United,6.67,308,944.34,First,Delayed,Boeing 737,Warren Voss,Tam Pourveer
2851,SYD,YPD,6/6/2022,1/2/2022,2:58 PM,3:51 AM,Delta,8.56,387,624.91,First,Cancelled,Airbus A320,Ugo Muddicliffe,Afton Goodband
625,CHH,BKJ,10/9/2022,2/7/2022,9:21 PM,9:40 PM,Delta,5.61,337,277.86,Economy,Delayed,Boeing 787,Maddalena Greenhall,Audi Findon
8902,NZE,PAB,4/12/2022,3/8/2022,10:47 AM,5:53 AM,American,9.94,90,781.72,Business,Cancelled,Airbus A320,Jessie Baptie,Angela Plum
325,MEN,BVI,4/24/2022,12/6/2022,11:34 AM,3:39 AM,Delta,1.34,171,230.4,Economy,Cancelled,Airbus A320,Shalne Thorwarth,Stormy Turnbull
6386,UKS,GRZ,3/20/2022,2/8/2022,10:46 AM,5:46 AM,American,8.98,372,899.29,Economy,Cancelled,Boeing 737,Thorsten Premble,Mehetabel Carous
5338,RDP,ESD,12/26/2022,10/26/2022,1:19 AM,12:49 PM,Delta,7.31,339,364.72,First,Delayed,Boeing 787,Tim Sesons,Kristyn Turpie
3912,NRD,HDR,11/4/2022,10/2/2022,8:14 PM,1:49 AM,Delta,7.98,443,736.36,First,Cancelled,Airbus A320,Adora Clarkin,Elisabetta Orta
3066,DCY,MPG,6/21/2022,1/6/2022,9:48 AM,11:55 AM,American,5.31,294,432.72,First,Delayed,Boeing 787,Danie Mapother,Frayda Turbat
8646,PQQ,KVX,10/24/2022,4/19/2022,12:29 PM,7:16 PM,Delta,1.14,430,809.94,First,Delayed,Boeing 737,Dulce Swate,Robinetta Turvey
1723,XNU,WJR,5/11/2022,11/29/2022,4:57 AM,10:54 AM,United,4.58,162,914.69,First,Cancelled,Airbus A320,Merralee Lagde,Newton Maxfield
5456,YHI,DKK,12/18/2022,8/19/2022,4:30 AM,4:00 PM,United,2.69,445,527.36,Economy,On Time,Airbus A320,Celene Fend,Brook Velti
4774,MWN,URO,3/18/2022,6/5/2022,5:39 PM,6:26 AM,Delta,4.58,110,363.28,Economy,Cancelled,Airbus A320,Katine Tassel,Delila Pike
190,LCE,NPP,7/11/2022,11/2/2022,9:33 PM,9:04 AM,Delta,9.72,259,114.39,Economy,Delayed,Airbus A320,Matthus De Roeck,Robbie Burch
6037,TEN,PAM,11/17/2022,5/24/2022,7:31 AM,11:52 AM,United,8.58,262,92.3,Economy,On Time,Airbus A320,Freda Dzeniskevich,Beaufort Hatwell
4710,YTB,CZS,1/27/2022,5/17/2022,12:02 PM,6:45 PM,American,7.64,441,649.03,First,Cancelled,Boeing 737,Corry Athey,Collin Birchall
1925,MJB,NWA,12/9/2022,8/31/2022,10:25 AM,11:17 PM,Delta,1.77,413,493.64,Economy,Delayed,Boeing 787,Masha Mines,Bernie Grand
8124,BAS,CLZ,4/19/2022,9/16/2022,9:32 PM,7:34 AM,American,7.76,31,193.36,First,Delayed,Boeing 737,Cissy McClements,Gabriella Oaker
1761,YOW,AZD,11/3/2022,4/20/2022,4:47 PM,1:00 AM,United,9.73,40,598.94,Economy,Cancelled,Airbus A320,Jaye Stroobant,Brnaba Lampbrecht
8373,YPN,GIL,9/22/2022,8/6/2022,3:48 PM,11:31 AM,Delta,6.6,102,83.57,Business,Cancelled,Boeing 737,Lia Shills,Orly Kenna
1204,LKZ,OUA,1/7/2022,3/20/2022,9:02 PM,4:43 PM,United,3.7,487,356.33,Economy,On Time,Airbus A320,Hanson Banister,Ryan Ashington
7880,SSK,SCY,8/29/2022,2/19/2022,8:20 AM,12:32 PM,American,7.79,40,532.69,Business,Cancelled,Boeing 787,Feliks Edgson,Nevil Toolan
265,TLC,ARU,10/12/2022,2/26/2022,9:52 PM,9:05 PM,American,6.3,117,145.1,Business,On Time,Boeing 787,Justinian Lapides,Pedro Thursfield
2306,GNV,MHK,4/19/2022,2/13/2022,11:27 AM,2:43 AM,United,9.8,422,442.16,First,Delayed,Airbus A320,Ulrikaumeko Nelthropp,Ibrahim Yurmanovev
463,HLC,BTR,10/19/2022,7/13/2022,6:03 AM,8:07 PM,Delta,8.78,394,165.78,Business,Cancelled,Boeing 787,Maris Voller,Gaylene Bahls
1936,ILN,HTG,9/3/2022,3/18/2022,6:03 PM,2:59 PM,American,2.22,189,92.66,Economy,Cancelled,Airbus A320,Mariann Tuffin,Ambrosius Troillet
1746,TDN,KME,9/27/2022,7/14/2022,7:48 PM,7:55 AM,American,7.31,423,129.78,Economy,On Time,Airbus A320,Nari Shakeshaft,Wyndham Gilmartin
2122,HMA,HDS,8/31/2022,5/17/2022,8:38 PM,10:58 AM,United,8.6,486,405.9,First,On Time,Airbus A320,Lonnie Dibbs,Barrie Blanchflower
4793,OML,LCI,7/10/2022,12/23/2022,4:31 PM,11:58 AM,Delta,9.99,325,740.11,Economy,Delayed,Airbus A320,Fee Ambresin,Nikolas Kubes
6112,LOQ,LME,2/27/2022,11/8/2022,12:04 AM,7:14 PM,Delta,3.96,315,604.19,Business,On Time,Airbus A320,Julienne Bicker,Doloritas Sivill
2649,MVY,YPT,2/12/2022,3/26/2022,12:47 AM,10:24 PM,United,7.84,486,720.24,Business,Cancelled,Boeing 737,Erny Hanlon,Krissie Tourne
8417,OHO,OHO,9/14/2022,12/25/2022,3:39 PM,11:42 PM,American,8.48,200,806.43,Economy,On Time,Airbus A320,Rana Guesford,Nehemiah Gothrup
3708,BCZ,PUP,2/1/2022,1/29/2022,8:00 PM,12:56 AM,American,2.52,404,987.04,First,On Time,Boeing 787,Vanya Pilcher,Leonhard Strooband
6621,WEH,CIJ,6/27/2022,7/21/2022,10:41 AM,11:25 AM,United,3.95,329,754.97,Economy,Delayed,Boeing 787,Addie Mildner,Diannne Matysiak
5621,LMC,ARU,8/7/2022,5/10/2022,11:34 AM,3:55 AM,American,7.34,439,776.47,First,Cancelled,Airbus A320,Morie Heffy,Neal Lillico
139,MWF,OZC,6/27/2022,6/15/2022,10:47 AM,9:14 AM,American,5.9,219,232.25,Business,Delayed,Airbus A320,Randall Aleksashin,Floria Colebourn
7470,PDV,DOB,11/18/2022,10/12/2022,3:59 AM,1:26 PM,Delta,1.2,221,443.42,Business,Delayed,Airbus A320,Glenna Tzarkov,Tedd Povey
7856,RBQ,LBN,6/1/2022,2/8/2022,1:22 AM,6:11 PM,Delta,6.12,135,602.4,Business,Delayed,Boeing 737,Izak Lavalle,Murray Archbell
8356,PQI,KNR,10/17/2022,4/16/2022,5:07 PM,2:58 AM,Delta,1.95,332,746.35,Economy,Delayed,Airbus A320,Merla Brampton,Claudius Voase
1324,LQN,WRA,3/25/2022,11/10/2022,9:43 AM,1:20 PM,American,2.02,95,134.58,Economy,On Time,Airbus A320,Cal Dennison,Teirtza Lathwood
1293,LKO,ESK,11/10/2022,2/4/2022,10:26 PM,11:54 AM,American,2.55,183,148.4,First,Delayed,Airbus A320,Sinclair Lombardo,Padgett Byass
1658,IXM,UUS,9/2/2022,1/10/2022,12:42 AM,5:31 PM,Delta,9.22,29,674.49,First,Delayed,Boeing 737,Shandie Ruthven,Hilda BoHlingolsen
2621,ECA,OLK,5/29/2022,3/16/2022,12:42 AM,3:07 AM,American,1.8,24,737.92,First,Cancelled,Boeing 787,Jenni Bladge,Baudoin Teligin
6424,GGO,BDW,2/13/2022,4/3/2022,6:44 PM,3:06 AM,United,7.96,39,958.13,Business,On Time,Boeing 737,Zachariah Pennigar,Ricky Linscott
5882,KWF,KGY,11/16/2022,6/26/2022,12:30 AM,12:10 PM,American,5.52,249,128.88,Business,Cancelled,Airbus A320,Margery Connold,Read Tour
5131,YHR,JNG,6/17/2022,5/29/2022,10:25 PM,4:12 PM,American,3.81,2,739.45,Business,Delayed,Airbus A320,Michele Goodbarne,Lynette Ellens
2576,ALO,KMV,10/11/2022,1/4/2022,10:21 PM,12:38 AM,American,3.25,442,773.15,Economy,Cancelled,Boeing 737,Fielding Phlippi,Reggy Viccary
1098,ZFD,CXI,6/21/2022,1/11/2022,10:49 PM,10:08 AM,United,1.7,168,709.2,Business,Cancelled,Boeing 787,Ira Rheubottom,Darci Plowes
9896,SIB,LAK,7/21/2022,7/21/2022,9:56 PM,2:54 AM,American,8.61,195,269.45,Economy,Delayed,Airbus A320,Jehanna Keningley,Michele Honatsch
5840,MRV,RSD,4/10/2022,4/20/2022,3:58 PM,6:40 PM,United,2.22,77,854.63,First,Delayed,Airbus A320,Ange Graves,Gretna Liley
2128,TRY,LOZ,5/18/2022,12/27/2022,7:05 PM,3:04 PM,United,1.11,467,905.86,Business,On Time,Airbus A320,Kiri Aslen,Amos Blinkhorn
2706,PML,LKL,6/3/2022,12/30/2022,12:00 PM,5:16 AM,American,4.78,78,662.86,Business,Cancelled,Boeing 737,Justus Farrance,Gina Pakes
5690,MKH,EOR,6/20/2022,10/28/2022,3:50 PM,9:01 PM,United,1.83,211,174.2,Business,Delayed,Airbus A320,Tobey Toye,Iver Thowless
7885,RVN,OPS,9/10/2022,4/30/2022,5:46 PM,8:29 PM,United,5.28,127,920.64,Business,Delayed,Boeing 787,Nicolas Skase,Luise Rodolfi
9670,ZJI,DKK,6/9/2022,8/18/2022,11:29 PM,6:09 AM,American,3.64,187,432.74,Economy,Delayed,Airbus A320,Clary Jakobsson,Brian Attew
1546,MFC,TDV,1/7/2022,7/19/2022,1:41 PM,1:56 PM,United,4.11,377,968.71,First,On Time,Airbus A320,Perry O'Gready,Cchaddie Hazael
4757,TLN,UUN,8/23/2022,4/2/2022,12:44 PM,6:36 PM,Delta,3.58,410,588.3,Business,Delayed,Airbus A320,Rayna Brightey,Toni Borzone
9128,RPX,ESS,7/25/2022,8/4/2022,5:32 AM,5:20 PM,Delta,1.83,21,745.75,First,Delayed,Boeing 787,Gil Rydzynski,Hyacinth Skeemor
6451,ITK,AQY,3/10/2022,12/15/2022,3:50 PM,1:30 PM,United,9.16,61,172.87,Business,Delayed,Airbus A320,Matti Thuillier,Waylan Fidgin
5843,KTC,AHS,9/10/2022,4/3/2022,2:45 AM,10:30 AM,Delta,5.03,219,948.13,Economy,Delayed,Boeing 737,Wiatt Geeves,Gib Pigeram
1678,YHH,NMN,5/6/2022,5/19/2022,3:23 AM,1:20 PM,American,1.08,387,198.09,First,On Time,Airbus A320,Darcy Drysdale,Neale Beagrie
5682,ACK,FSN,3/22/2022,9/11/2022,6:59 AM,1:56 AM,United,9.57,458,219.41,First,Cancelled,Airbus A320,Allen Haselhurst,Glenn Varren
5438,KWE,CVH,9/27/2022,8/31/2022,7:50 PM,4:03 AM,United,9.77,300,122.17,Business,Cancelled,Airbus A320,Ellie Moses,Salem Sushams
6576,AGP,JNS,8/30/2022,9/5/2022,1:02 PM,9:01 PM,American,7.61,356,726.9,First,Delayed,Boeing 737,Karlotte Dennett,Maren Vannah
3507,BMU,SAV,11/30/2022,9/23/2022,1:01 PM,7:08 PM,United,7.92,269,995.13,Business,Delayed,Airbus A320,Lorelle Berrill,Dulsea Sherebrook
3196,PCF,CEE,8/30/2022,2/20/2022,2:59 AM,7:44 AM,Delta,2.06,108,479.14,First,Delayed,Airbus A320,Doria Ambrogioli,Ula Mileham
7824,AIL,ZRJ,6/30/2022,3/15/2022,7:19 AM,7:06 AM,American,3.21,395,432.36,First,Delayed,Boeing 787,Barrie Pavitt,Kennie Placido
7216,PWD,TRY,2/12/2022,12/3/2022,8:53 AM,1:21 AM,Delta,7.91,497,432.61,First,On Time,Boeing 787,Jacklin Tineman,Selig Mehaffey
7413,HVA,BYA,1/3/2022,8/17/2022,1:15 PM,6:11 AM,American,8.99,404,899.39,Business,On Time,Airbus A320,Kelci Iiannoni,Elane Philippet
1544,OYA,BOQ,2/3/2022,8/18/2022,5:31 AM,8:08 PM,Delta,3.15,393,471.0,Economy,Cancelled,Boeing 737,Aldon Phinnis,Percy Lissaman
5602,KTU,TNI,10/30/2022,1/7/2022,3:24 AM,5:23 AM,American,8.1,401,428.12,First,Delayed,Boeing 737,Leodora Quarrington,Henrie Olsson
3083,DCT,WWP,3/22/2022,9/20/2022,9:54 PM,6:07 AM,United,5.14,12,215.22,Economy,Delayed,Boeing 737,Birch Magnar,Brock Simion
6383,KWN,DTA,8/5/2022,6/1/2022,8:38 PM,6:24 AM,Delta,8.82,269,807.39,Economy,Delayed,Airbus A320,Rosalyn Drewes,Ram Kiossel
5572,CCN,OUD,3/3/2022,1/20/2022,8:09 PM,6:53 PM,Delta,5.11,89,641.4,Economy,Delayed,Boeing 787,Gratiana Rambaut,Titos Lumsdale
9768,PES,KKW,2/26/2022,10/9/2022,7:56 AM,8:15 AM,United,4.48,76,165.8,Business,Delayed,Boeing 787,Gerti Albro,Shauna Jaycox
8568,MHS,MNI,4/14/2022,12/17/2022,4:13 PM,12:01 AM,American,2.51,180,732.9,First,Delayed,Boeing 787,Markos Neve,Fidelia Dumphry
4774,GHT,HUQ,12/3/2022,2/10/2022,6:50 AM,2:19 PM,United,5.76,84,439.91,Economy,Delayed,Boeing 737,Dynah Haigh,Bird Haburne
7188,ILH,VLI,5/23/2022,5/19/2022,4:59 AM,9:50 AM,United,1.67,343,962.34,First,Delayed,Boeing 737,Corliss Burwood,Gwyn Whittington
8374,MPF,RMK,3/5/2022,7/10/2022,11:21 AM,8:42 PM,American,5.69,44,207.35,Economy,On Time,Boeing 787,Ethelyn Pinks,Morty Ropkins
1504,MBI,ASC,8/22/2022,7/22/2022,6:05 PM,1:10 PM,American,7.51,284,532.83,Business,On Time,Boeing 787,Amalia Hartop,Zandra Younie
5887,LYU,PIR,9/29/2022,4/22/2022,5:12 PM,3:06 PM,United,1.97,65,65.73,Business,Delayed,Airbus A320,Dodie Arnfield,Clemmie Whetson
8750,LBE,YCY,11/18/2022,3/18/2022,12:44 AM,2:32 AM,Delta,1.7,456,738.04,Business,Cancelled,Boeing 737,Ermin Flisher,Quintin Retter
7865,TLL,FKB,6/13/2022,9/20/2022,12:40 PM,1:28 AM,United,5.81,96,524.74,Economy,Cancelled,Boeing 787,Ileana Thornton-Dewhirst,Hagan Durnall
2791,FOS,TBH,7/14/2022,3/17/2022,5:51 AM,10:24 PM,United,6.96,74,847.33,Economy,On Time,Airbus A320,Madison Saunter,Gale Lawlee
1791,ABG,AVK,12/19/2022,7/9/2022,11:54 AM,5:55 PM,Delta,9.4,468,534.22,Business,Delayed,Airbus A320,Jasen Casemore,Gusti Giacomi
5445,PDZ,RUA,4/19/2022,9/30/2022,1:13 PM,9:48 PM,Delta,8.48,152,574.85,Business,Delayed,Airbus A320,Sasha Kulver,Helenka Arrighetti
3253,EJT,CVB,2/13/2022,12/5/2022,7:08 PM,9:58 AM,United,3.1,26,365.95,Business,Cancelled,Boeing 737,Gonzalo Adelman,Dona Quincey
7254,BPN,AGR,11/18/2022,9/14/2022,1:56 PM,6:27 PM,United,2.31,328,708.89,Economy,Cancelled,Boeing 787,Giselbert Slingsby,Sampson Brahmer
3336,DCG,BGV,3/9/2022,12/6/2022,3:11 PM,4:07 PM,American,2.05,435,682.45,First,On Time,Boeing 737,Beryl Sleith,Editha Furman
392,UYU,MFW,11/19/2022,8/27/2022,8:21 AM,1:45 AM,United,2.98,279,249.43,Business,Delayed,Airbus A320,Miranda Klimczak,Enrico Farre
4174,COZ,JSY,9/27/2022,2/26/2022,11:29 AM,11:58 PM,United,4.98,81,331.58,First,Delayed,Boeing 737,Gratia Patchett,Lu Cometto
3071,LTF,CEK,2/5/2022,5/24/2022,9:47 PM,12:17 AM,United,8.85,212,327.63,First,Cancelled,Airbus A320,Thibaud Minard,Brenda Ballentime
2063,SAL,SOD,7/13/2022,8/20/2022,1:29 PM,6:43 AM,Delta,7.6,214,210.06,First,Delayed,Airbus A320,Mahala Druett,Chandal Dods
1562,EAL,FNE,6/4/2022,8/4/2022,5:34 AM,1:44 AM,American,7.0,222,764.74,First,Cancelled,Airbus A320,Ambrosio Stanlock,Brett Loadwick
4068,EDI,ALW,2/26/2022,10/25/2022,8:32 PM,3:43 AM,American,1.2,321,794.63,Business,On Time,Airbus A320,Finn Spragge,Happy Emanuel
4676,BRK,DIJ,12/5/2022,3/27/2022,8:22 PM,1:44 PM,American,9.32,413,670.45,Economy,On Time,Airbus A320,Koralle Baudi,Lory Braker
5659,ZLG,GRI,5/16/2022,6/15/2022,3:43 PM,3:44 AM,American,8.27,14,136.93,First,On Time,Boeing 737,Germaine Aveline,Lavinia Rubertis
315,WBG,JAQ,3/11/2022,5/28/2022,1:21 PM,3:21 AM,Delta,1.41,194,377.43,Business,On Time,Airbus A320,Maddy Brahan,Aleta Danbrook
5104,YGJ,FRI,6/30/2022,8/25/2022,6:42 AM,7:27 AM,United,6.37,478,556.2,Business,Cancelled,Boeing 737,Nobe Twomey,Berny Alesin
8594,BLH,RYK,10/2/2022,6/11/2022,2:58 AM,12:18 AM,Delta,2.72,189,968.14,First,Delayed,Airbus A320,Bernete Marquet,Sheila Mather
294,AIU,FLM,1/7/2022,2/4/2022,4:40 AM,8:07 AM,Delta,7.75,144,370.62,Business,On Time,Boeing 787,Rollo Pawlyn,Cyndie McGarahan
3899,EKA,IFJ,7/15/2022,12/11/2022,11:28 AM,1:19 AM,American,4.63,3,363.64,First,On Time,Boeing 787,Graham Castano,Alana Temple
5741,AUJ,UTH,12/5/2022,12/24/2022,11:44 AM,8:18 AM,United,9.93,405,717.05,Business,On Time,Airbus A320,Tonie Northfield,Virgil Feeham
4770,YPR,BFM,2/4/2022,2/12/2022,12:28 AM,9:39 PM,Delta,3.69,411,610.61,Economy,Cancelled,Boeing 737,Halsey McGloughlin,Olivier Mearns
3904,AXF,INW,11/25/2022,8/29/2022,11:11 PM,8:29 AM,United,1.85,355,268.92,Economy,On Time,Airbus A320,Magnum Jerke,Huey Askam
2330,KVR,GAY,6/10/2022,11/30/2022,8:39 PM,10:53 AM,Delta,4.7,492,569.67,Business,Delayed,Airbus A320,Niel Lewerenz,Jackson Yewdale
9290,KLE,VNT,4/24/2022,5/27/2022,3:26 PM,9:02 PM,Delta,6.05,202,270.36,Economy,Delayed,Boeing 737,Warren Aspling,Ronalda Rowcastle
2859,DLC,BPM,11/17/2022,11/22/2022,4:54 PM,4:29 AM,Delta,1.29,243,664.44,Economy,On Time,Airbus A320,Florencia Abramson,Modesty Fearick
9206,MJN,TNK,10/14/2022,11/27/2022,3:15 AM,6:42 AM,American,9.84,239,247.96,Business,Cancelled,Boeing 787,Florida Stickney,Zara Wanne
877,YBB,EKD,9/21/2022,5/19/2022,8:09 PM,2:33 AM,United,2.71,453,290.15,Business,On Time,Boeing 787,Welch Staley,Edita Ellick
3860,HRR,QPW,12/4/2022,4/16/2022,12:36 AM,7:44 AM,American,3.66,495,271.34,Business,On Time,Boeing 787,Mable Gian,Richy Vicker
6216,GRF,RIX,2/22/2022,3/1/2022,10:50 PM,11:14 AM,American,1.83,293,750.87,First,Delayed,Airbus A320,Emelda Peet,Fairlie Zorer
3153,AOL,QQT,7/12/2022,12/28/2022,5:57 AM,2:11 AM,Delta,8.57,123,786.11,First,Delayed,Boeing 737,Frankie Udie,Isador Bruton
3664,NMA,LKY,8/6/2022,1/19/2022,5:04 PM,6:58 AM,Delta,6.69,488,648.24,First,On Time,Airbus A320,Early Bustard,Alida Midgely
3084,HYL,KSH,6/15/2022,3/16/2022,9:40 AM,1:51 AM,Delta,6.09,272,716.14,First,Delayed,Boeing 787,Beryle Tobias,Klement Godbert
2020,MZG,AAY,11/11/2022,1/26/2022,6:07 PM,11:13 AM,American,4.59,409,697.29,Economy,On Time,Airbus A320,Vanni O'Concannon,Grissel Culy
8244,DPO,POU,3/28/2022,1/16/2022,1:23 PM,7:50 AM,American,6.34,334,500.57,First,On Time,Boeing 737,Drud Antonucci,Hersch Hadlee
